processo,indicador,municipio_sede,orgao_julgador,classe_judicial,data,arquivo_origem,data_arquivo,ordem_arquivo,numero_linha_arquivo,data_processamento,processo_original,processo_norm,indicador_original,indicador_norm,orgao_julgador_original,orgao_norm,classe_judicial_original,classe_norm,municipio_sede_original,municipio_norm,data_dt,data_valida,unidade_e_triagem,sequencia_movimento
0000005-55.2026.5.12.0001,Distribuição,Florianopolis,3 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,05/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,18,2026-07-23 15:24:07.621968,0000005-55.2026.5.12.0001,0000005-55.2026.5.12.0001,Distribuição,DISTRIBUICAO,3 Vara do Trabalho de Florianopolis,3 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-05 08:00:00,True,False,1
0000005-55.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,06/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,19,2026-07-23 15:24:07.621968,0000005-55.2026.5.12.0001,0000005-55.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-06 08:00:00,True,True,2
0000005-55.2026.5.12.0001,Redistribuição,Florianopolis,6 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,08/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,20,2026-07-23 15:24:07.621968,0000005-55.2026.5.12.0001,0000005-55.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,6 Vara do Trabalho de Florianopolis,6 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-08 08:00:00,True,False,3
0000006-66.2026.5.12.0001,Distribuição,Florianopolis,Vara Inexistente,ATSum - Procedimento Sumario,06/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,21,2026-07-23 15:24:07.621968,0000006-66.2026.5.12.0001,0000006-66.2026.5.12.0001,Distribuição,DISTRIBUICAO,Vara Inexistente,VARA INEXISTENTE,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-06 08:00:00,True,False,1
0000007-77.2026.5.12.0001,Distribuição,Florianopolis,1 Vara do Trabalho de Joinville,ATSum - Procedimento Sumario,31/13/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,22,2026-07-23 15:24:07.621968,0000007-77.2026.5.12.0001,0000007-77.2026.5.12.0001,Distribuição,DISTRIBUICAO,1 Vara do Trabalho de Joinville,1 VARA DO TRABALHO DE JOINVILLE,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,,False,False,1
0000008-88.2026.5.12.0001,Distribuição,Florianopolis,1 Vara do Trabalho de Blumenau,ATSum - Procedimento Sumario,07/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,23,2026-07-23 15:24:07.621968,0000008-88.2026.5.12.0001,0000008-88.2026.5.12.0001,Distribuição,DISTRIBUICAO,1 Vara do Trabalho de Blumenau,1 VARA DO TRABALHO DE BLUMENAU,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-07 08:00:00,True,False,1
0000009-99.2026.5.12.0001,Distribuição,Florianopolis,1 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,02/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,24,2026-07-23 15:24:07.621968,0000009-99.2026.5.12.0001,0000009-99.2026.5.12.0001,Distribuição,DISTRIBUICAO,1 Vara do Trabalho de Florianopolis,1 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-02 08:00:00,True,False,1
0000009-99.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,03/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,25,2026-07-23 15:24:07.621968,0000009-99.2026.5.12.0001,0000009-99.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-03 08:00:00,True,True,2
0000009-99.2026.5.12.0001,Redistribuição,Florianopolis,5 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,04/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,26,2026-07-23 15:24:07.621968,0000009-99.2026.5.12.0001,0000009-99.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,5 Vara do Trabalho de Florianopolis,5 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-04 08:00:00,True,False,3
0000009-99.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,10/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,27,2026-07-23 15:24:07.621968,0000009-99.2026.5.12.0001,0000009-99.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-10 08:00:00,True,True,4
0000009-99.2026.5.12.0001,Redistribuição,Florianopolis,1 Vara do Trabalho de Chapeco,ATSum - Procedimento Sumario,12/01/2026 08:00:00,processos_01-01-2026.csv,2026-01-01,0,28,2026-07-23 15:24:07.621968,0000009-99.2026.5.12.0001,0000009-99.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,1 Vara do Trabalho de Chapeco,1 VARA DO TRABALHO DE CHAPECO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-12 08:00:00,True,False,5
0000010-10.2026.5.12.0001,Distribuição,Florianopolis,2 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,09/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,9,2026-07-23 15:24:07.621968,0000010-10.2026.5.12.0001,0000010-10.2026.5.12.0001,Distribuição,DISTRIBUICAO,2 Vara do Trabalho de Florianopolis,2 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-09 08:00:00,True,False,1
0000010-10.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,10/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,10,2026-07-23 15:24:07.621968,0000010-10.2026.5.12.0001,0000010-10.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-10 08:00:00,True,True,2
0000010-10.2026.5.12.0001,Redistribuição,Florianopolis,1 Vara do Trabalho de Joinville,ATSum - Procedimento Sumario,13/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,11,2026-07-23 15:24:07.621968,0000010-10.2026.5.12.0001,0000010-10.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,1 Vara do Trabalho de Joinville,1 VARA DO TRABALHO DE JOINVILLE,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-13 08:00:00,True,False,3
0000011-20.2026.5.12.0001,Distribuição,Florianopolis,4 Vara do Trabalho de Florianopolis,ATSum - Procedimento Sumario,09/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,12,2026-07-23 15:24:07.621968,0000011-20.2026.5.12.0001,0000011-20.2026.5.12.0001,Distribuição,DISTRIBUICAO,4 Vara do Trabalho de Florianopolis,4 VARA DO TRABALHO DE FLORIANOPOLIS,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-09 08:00:00,True,False,1
0000012-30.2026.5.12.0001,Distribuição,Florianopolis,1 Vara do Trabalho de Itajai,ATSum - Procedimento Sumario,10/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,13,2026-07-23 15:24:07.621968,0000012-30.2026.5.12.0001,0000012-30.2026.5.12.0001,Distribuição,DISTRIBUICAO,1 Vara do Trabalho de Itajai,1 VARA DO TRABALHO DE ITAJAI,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-10 08:00:00,True,False,1
0000012-30.2026.5.12.0001,Redistribuição,Florianopolis,Setor de Triagem - Equalizacao,ATSum - Procedimento Sumario,11/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,14,2026-07-23 15:24:07.621968,0000012-30.2026.5.12.0001,0000012-30.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,Setor de Triagem - Equalizacao,SETOR DE TRIAGEM - EQUALIZACAO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-11 08:00:00,True,True,2
0000012-30.2026.5.12.0001,Redistribuição,Florianopolis,1 Vara do Trabalho de Chapeco,ATSum - Procedimento Sumario,14/01/2026 08:00:00,processos_08-01-2026.csv,2026-01-08,1,15,2026-07-23 15:24:07.621968,0000012-30.2026.5.12.0001,0000012-30.2026.5.12.0001,Redistribuição,REDISTRIBUICAO,1 Vara do Trabalho de Chapeco,1 VARA DO TRABALHO DE CHAPECO,ATSum - Procedimento Sumario,ATSUM - PROCEDIMENTO SUMARIO,Florianopolis,FLORIANOPOLIS,2026-01-14 08:00:00,True,False,3
